Code,Year,Public social expenditure as a share of GDP
CZE,1994,15.699
CZE,1995,15.965
CZE,1996,15.982
CZE,1997,16.724
CZE,1998,17.055
CZE,1999,17.698
CZE,2000,17.859
CZE,2001,17.807
CZE,2002,18.545
CZE,2003,18.679
CZE,2004,17.842
CZE,2005,17.904
CZE,2006,17.573
CZE,2007,17.357
CZE,2008,17.658
CZE,2009,19.933
CZE,2010,19.503
CZE,2011,19.555
CZE,2012,19.858
CZE,2013,20.657
CZE,2014,20.063
CZE,2015,19.257
CZE,2016,18.864
CZE,2017,18.922
CZE,2018,19.095
CZE,2019,19.459
CZE,2020,22.619
CZE,2021,22.496
CZE,2022,22.012
DNK,1880,0.96
DNK,1890,1.11
DNK,1900,1.41
DNK,1910,1.75
DNK,1920,2.71
DNK,1930,3.11
DNK,1980,20.259
DNK,1981,20.131
DNK,1982,19.967
DNK,1983,20.066
DNK,1984,19.233
DNK,1985,19.159
DNK,1986,19.673
DNK,1987,20.478
DNK,1988,21.48
DNK,1989,21.474
DNK,1990,21.949
DNK,1991,22.404
DNK,1992,22.6
DNK,1993,23.791
DNK,1994,25.424
DNK,1995,25.513
DNK,1996,24.946
DNK,1997,24.156
DNK,1998,23.741
DNK,1999,24.547
DNK,2000,23.765
DNK,2001,24.29
DNK,2002,24.804
DNK,2003,25.328
DNK,2004,25.119
DNK,2005,25.195
DNK,2006,24.961
DNK,2007,25.912
DNK,2008,26.324
DNK,2009,29.282
DNK,2010,29.908
DNK,2011,30.022
DNK,2012,30.204
DNK,2013,30.047
DNK,2014,30.019
DNK,2015,29.975
DNK,2016,29.429
DNK,2017,28.979
DNK,2018,28.534
DNK,2019,28.436
DNK,2020,29.347
DNK,2021,28.273
DNK,2022,26.164
EST,1999,15.204
EST,2000,13.932
EST,2001,13.067
EST,2002,12.766
EST,2003,12.892
EST,2004,13.304
EST,2005,12.832
EST,2006,12.447
EST,2007,12.365
EST,2008,15.139
EST,2009,19.423
EST,2010,18.14
EST,2011,16.182
EST,2012,15.753
EST,2013,15.676
EST,2014,15.983
EST,2015,17.279
EST,2016,17.533
EST,2017,17.028
EST,2018,17.462
EST,2019,17.907
EST,2020,19.82
EST,2021,18.437
EST,2022,17.187
FIN,1880,0.66
FIN,1890,0.76
FIN,1900,0.78
FIN,1910,0.9
FIN,1920,0.85
FIN,1930,2.97
FIN,1960,8.150308
FIN,1961,8.414043
FIN,1962,8.901662
FIN,1963,9.06783
FIN,1964,9.497361
FIN,1965,10.286181
FIN,1966,11.171818
FIN,1967,11.918635
FIN,1968,12.598455
FIN,1969,12.385683
FIN,1970,12.542629
FIN,1971,13.355066
FIN,1972,14.008199
FIN,1973,13.6567545
FIN,1974,13.961877
FIN,1975,15.448667
FIN,1976,17.061356
FIN,1977,18.46386
FIN,1978,18.754545
FIN,1979,17.84176
FIN,1980,17.755
FIN,1981,17.894
FIN,1982,18.924
FIN,1983,19.832
FIN,1984,20.626
FIN,1985,21.678
FIN,1986,22.122
FIN,1987,22.756
FIN,1988,22.086
FIN,1989,21.815
FIN,1990,23.331
FIN,1991,28.248
FIN,1992,32.199
FIN,1993,32.279
FIN,1994,31.573
FIN,1995,28.904
FIN,1996,28.732
FIN,1997,26.608
FIN,1998,24.509
FIN,1999,23.844
FIN,2000,22.691
FIN,2001,22.512
FIN,2002,23.235
FIN,2003,23.885
FIN,2004,23.993
FIN,2005,23.961
FIN,2006,23.776
FIN,2007,22.869
FIN,2008,23.362
FIN,2009,26.949
FIN,2010,27.412
FIN,2011,27.071
FIN,2012,28.33
FIN,2013,29.438
FIN,2014,30.174
FIN,2015,30.528
FIN,2016,30.441
FIN,2017,29.574
FIN,2018,29.353
FIN,2019,29.419
FIN,2020,31
FIN,2021,30.342
FIN,2022,29.02
FRA,1880,0.46
FRA,1890,0.54
FRA,1900,0.57
FRA,1910,0.81
FRA,1920,0.64
FRA,1930,1.05
FRA,1975,16.389477
FRA,1976,18.005272
FRA,1977,18.504372
FRA,1978,19.360786
FRA,1979,19.630735
FRA,1980,20.137
FRA,1981,15.615
FRA,1982,16.112
FRA,1983,16.221
FRA,1984,16.378
FRA,1985,25.339
FRA,1986,19.188
FRA,1987,19.101
FRA,1988,18.897
FRA,1989,17.955
FRA,1990,24.397
FRA,1991,25.034
FRA,1992,25.772
FRA,1993,27.172
FRA,1994,27.212
FRA,1995,28.488
FRA,1996,28.777
FRA,1997,28.645
FRA,1998,28.855
FRA,1999,28.828
FRA,2000,27.716
FRA,2001,27.704
FRA,2002,28.423
FRA,2003,28.802
FRA,2004,28.876
FRA,2005,28.83
FRA,2006,28.393
FRA,2007,28.237
FRA,2008,28.484
FRA,2009,30.943
FRA,2010,30.983
FRA,2011,30.702
FRA,2012,31.177
FRA,2013,31.657
FRA,2014,31.968
FRA,2015,31.778
FRA,2016,31.918
FRA,2017,31.446
FRA,2018,30.989
FRA,2019,30.739
FRA,2020,34.876
FRA,2021,32.661
FRA,2022,31.633
DEU,1880,0.5
DEU,1890,0.53
DEU,1900,0.59
DEU,1930,4.82
DEU,1960,15.369004
DEU,1961,15.304998
DEU,1962,15.388236
DEU,1963,15.828846
DEU,1964,15.354482
DEU,1965,16.084034
DEU,1966,16.293688
DEU,1967,17.689854
DEU,1968,17.47867
DEU,1969,16.950384
DEU,1970,16.568996
DEU,1971,17.315866
DEU,1972,17.964119
DEU,1973,18.296705
DEU,1974,19.96038
DEU,1975,23.057457
DEU,1976,22.730425
DEU,1977,22.577394
DEU,1978,22.024511
DEU,1979,21.587797
DEU,1980,21.788
DEU,1981,22.446
DEU,1982,22.433
DEU,1983,22.14
DEU,1984,21.881
DEU,1985,22.228
DEU,1986,22.247
DEU,1987,22.715
DEU,1988,22.705
DEU,1989,21.643
DEU,1990,21.354
DEU,1991,22.307
DEU,1992,24.017
DEU,1993,24.722
DEU,1994,24.902
DEU,1995,25.252
DEU,1996,25.857
DEU,1997,25.446
DEU,1998,25.393
DEU,1999,25.524
DEU,2000,25.47
DEU,2001,25.487
DEU,2002,26.167
DEU,2003,26.628
DEU,2004,26.023
DEU,2005,26.383
DEU,2006,25.108
DEU,2007,24.21
DEU,2008,24.355
DEU,2009,26.808
DEU,2010,26.068
DEU,2011,24.763
DEU,2012,24.661
DEU,2013,24.848
DEU,2014,24.802
DEU,2015,25.07
DEU,2016,25.278
DEU,2017,25.237
DEU,2018,25.296
DEU,2019,25.59
DEU,2020,27.938
DEU,2021,27.639
DEU,2022,26.722
GRC,1960,6.0970225
GRC,1961,6.1592846
GRC,1962,6.2924604
GRC,1963,6.5847654
GRC,1964,6.822277
GRC,1965,7.2833085
GRC,1966,7.616706
GRC,1967,8.16228
GRC,1968,8.433564
GRC,1969,8.089455
GRC,1970,8.047091
GRC,1971,8.091215
GRC,1972,7.7362037
GRC,1973,7.009729
GRC,1974,7.452637
GRC,1975,7.713039
GRC,1976,8.067154
GRC,1977,8.864982
GRC,1978,9.495982
GRC,1979,9.302474
GRC,1980,9.856
GRC,1981,11.869
GRC,1982,13.94
GRC,1983,14.484
GRC,1984,14.793
GRC,1985,15.368
GRC,1986,15.213
GRC,1987,15.179
GRC,1988,13.932
GRC,1989,14.771
GRC,1990,15.721
GRC,1991,15.178
GRC,1992,15.389
GRC,1993,16.233
GRC,1994,16.259
GRC,1995,16.6
GRC,1996,17.011
GRC,1997,16.912
GRC,1998,17.461
GRC,1999,17.973
GRC,2000,17.768
GRC,2001,18.637
GRC,2002,18.359
GRC,2003,18.178
GRC,2004,18.309
GRC,2005,19.534
GRC,2006,19.379
GRC,2007,20.135
GRC,2008,21.571
GRC,2009,23.912
GRC,2010,25.017
GRC,2011,26.464
GRC,2012,27.426
GRC,2013,25.442
GRC,2014,25.493
GRC,2015,25.716
GRC,2016,26.041
GRC,2017,25.188
GRC,2018,25.025
GRC,2019,25.082
GRC,2020,27.86
GRC,2021,26.1
GRC,2022,24.115
HUN,1999,20.854
HUN,2000,20.092
HUN,2001,19.771
HUN,2002,20.8
HUN,2003,21.79
HUN,2004,21.05
HUN,2005,21.815
HUN,2006,22.112
HUN,2007,22.374
HUN,2008,22.622
HUN,2009,23.185
HUN,2010,22.805
HUN,2011,22.163
HUN,2012,22.478
HUN,2013,22.169
HUN,2014,21.322
HUN,2015,20.349
HUN,2016,20.17
HUN,2017,19.434
HUN,2018,18.616
HUN,2019,17.636
HUN,2020,18.546
HUN,2021,18.091
HUN,2022,17.194
ISL,1990,13.291
ISL,1991,13.743
ISL,1992,14.275
ISL,1993,14.602
ISL,1994,14.452
ISL,1995,14.758
ISL,1996,14.552
ISL,1997,14.108
ISL,1998,14.17
ISL,1999,14.423
ISL,2000,14.462
ISL,2001,14.482
ISL,2002,15.808
ISL,2003,16.732
ISL,2004,16.492
ISL,2005,15.618
ISL,2006,14.977
ISL,2007,15.825
ISL,2008,16.15
ISL,2009,18.491
ISL,2010,17.732
ISL,2011,18.146
ISL,2012,17.794
ISL,2013,17.325
ISL,2014,17.512
ISL,2015,16.648
ISL,2016,16.491
ISL,2017,17.496
ISL,2018,17.779
ISL,2019,18.691
ISL,2020,23.013
ISL,2021,22.312
ISL,2022,20.778
IRL,1930,3.74
IRL,1960,7.102097
IRL,1961,7.2091494
IRL,1962,7.303251
IRL,1963,7.6269927
IRL,1964,7.5265546
IRL,1965,7.8354607
IRL,1966,8.494923
IRL,1967,8.695133
IRL,1968,8.480267
IRL,1969,8.908888
IRL,1970,9.708178
IRL,1971,10.246468
IRL,1972,10.114014
IRL,1973,10.9998865
IRL,1974,12.394348
IRL,1975,13.926001
IRL,1976,13.8120985
IRL,1977,13.346849
IRL,1978,13.392767
IRL,1979,13.806341
IRL,1980,15.674
IRL,1981,15.784
IRL,1982,16.575
IRL,1983,16.695
IRL,1984,16.161
IRL,1985,20.392
IRL,1986,20.541
IRL,1987,19.816
IRL,1988,18.601
IRL,1989,17.14
IRL,1990,16.858
IRL,1991,17.762
IRL,1992,18.526
IRL,1993,18.497
IRL,1994,18.099
IRL,1995,17.563
IRL,1996,16.591
IRL,1997,15.508
IRL,1998,14.542
IRL,1999,13.682
IRL,2000,13.136
IRL,2001,13.948
IRL,2002,14.858
IRL,2003,15.422
IRL,2004,15.741
IRL,2005,15.834
IRL,2006,15.841
IRL,2007,16.746
IRL,2008,19.955
IRL,2009,23.853
IRL,2010,24.134
IRL,2011,23.294
IRL,2012,23.048
IRL,2013,21.812
IRL,2014,20.092
IRL,2015,15.196
IRL,2016,15.13
IRL,2017,14.181
IRL,2018,13.519
IRL,2019,12.868
IRL,2020,15.694
IRL,2021,14.178
IRL,2022,12.779
ISR,1995,16.037
ISR,1996,16.519
ISR,1997,16.518
ISR,1998,16.309
ISR,1999,16.276
ISR,2000,16.045
ISR,2001,17.28
ISR,2002,17.167
ISR,2003,16.668
ISR,2004,15.657
ISR,2005,15.219
ISR,2006,14.824
ISR,2007,14.357
ISR,2008,14.591
ISR,2009,15.129
ISR,2010,15.257
ISR,2011,15.005
ISR,2012,15.23
ISR,2013,15.29
ISR,2014,15.292
ISR,2015,15.3
ISR,2016,15.303
ISR,2017,15.929
ISR,2018,15.962
ISR,2019,16.128
ISR,2020,20.061
ISR,2021,18.343
ITA,1880,0
ITA,1890,0
ITA,1900,0
ITA,1910,0
ITA,1920,0
ITA,1930,0.08
ITA,1960,10.681984
ITA,1961,10.464329
ITA,1962,11.285819
ITA,1963,11.626103
ITA,1964,11.695103
ITA,1965,13.183179
ITA,1966,13.315965
ITA,1967,13.211858
ITA,1968,13.508812
ITA,1969,13.867328
ITA,1970,13.833173
ITA,1971,14.793898
ITA,1972,15.837904
ITA,1973,15.593411
ITA,1974,15.767111
ITA,1975,17.156511
ITA,1976,17.199873
ITA,1977,16.585323
ITA,1978,17.950176
ITA,1979,17.30984
ITA,1980,17.322
ITA,1981,18.666
ITA,1982,19.129
ITA,1983,20.15
ITA,1984,19.725
ITA,1985,20.047
ITA,1986,20.046
ITA,1987,20.264
ITA,1988,20.123
ITA,1989,20.285
ITA,1990,20.635
ITA,1991,21.007
ITA,1992,21.733
ITA,1993,21.999
ITA,1994,21.981
ITA,1995,21.056
ITA,1996,21.466
ITA,1997,22.152
ITA,1998,22.297
ITA,1999,22.72
ITA,2000,22.609
ITA,2001,22.801
ITA,2002,23.23
ITA,2003,23.561
ITA,2004,23.821
ITA,2005,24.055
ITA,2006,24.176
ITA,2007,24.003
ITA,2008,24.934
ITA,2009,26.953
ITA,2010,26.938
ITA,2011,26.546
ITA,2012,27.264
ITA,2013,27.87
ITA,2014,28.123
ITA,2015,28.315
ITA,2016,27.928
ITA,2017,27.653
ITA,2018,27.516
ITA,2019,27.732
ITA,2020,32.628
ITA,2021,30.732
ITA,2022,30.059
JPN,1880,0.05
JPN,1890,0.11
JPN,1900,0.17
JPN,1910,0.18
JPN,1920,0.18
JPN,1930,0.21
JPN,1960,3.327155
JPN,1961,3.7628338
JPN,1962,4.0174747
JPN,1963,4.1905417
JPN,1964,4.2379403
JPN,1965,4.5267024
JPN,1966,4.5794
JPN,1967,4.6308193
JPN,1968,4.5706687
JPN,1969,4.4774094
JPN,1970,4.706678
JPN,1971,4.920253
JPN,1972,5.317922
JPN,1973,5.49207
JPN,1974,6.6492877
JPN,1975,7.6613207
JPN,1976,8.255052
JPN,1977,8.576309
JPN,1978,9.225517
JPN,1979,9.522368
JPN,1980,9.82
JPN,1981,10.248
JPN,1982,10.569
JPN,1983,10.795
JPN,1984,10.664
JPN,1985,10.637
JPN,1986,10.965
JPN,1987,11.025
JPN,1988,10.736
JPN,1989,10.594
JPN,1990,10.45
JPN,1991,10.579
JPN,1992,11.185
JPN,1993,11.876
JPN,1994,12.383
JPN,1995,12.745
JPN,1996,12.721
JPN,1997,13.147
JPN,1998,13.86
JPN,1999,14.726
JPN,2000,14.916
JPN,2001,15.764
JPN,2002,16.106
JPN,2003,16.285
JPN,2004,16.49
JPN,2005,16.886
JPN,2006,17.011
JPN,2007,17.431
JPN,2008,18.445
JPN,2009,20.632
JPN,2010,20.981
JPN,2011,21.826
JPN,2012,21.773
JPN,2013,21.769
JPN,2014,21.539
JPN,2015,21.914
JPN,2016,21.965
JPN,2017,22.077
JPN,2018,22.195
JPN,2019,22.765
JPN,2020,24.943
LVA,1995,0
LVA,1996,0
LVA,1997,14.253
LVA,1998,14.995
LVA,1999,16.382
LVA,2000,15.311
LVA,2001,14.319
LVA,2002,13.799
LVA,2003,12.864
LVA,2004,12.996
LVA,2005,12.198
LVA,2006,12.086
LVA,2007,11.023
LVA,2008,12.922
LVA,2009,17.917
LVA,2010,19.122
LVA,2011,16.909
LVA,2012,15.322
LVA,2013,15.54
LVA,2014,15.377
LVA,2015,15.712
LVA,2016,15.973
LVA,2017,15.812
LVA,2018,16.142
LVA,2019,16.523
LVA,2020,18.472
LVA,2021,19.76
LVA,2022,19.695
LTU,1996,13.114
LTU,1997,13.754
LTU,1998,14.97
LTU,1999,16.152
LTU,2000,15.402
LTU,2001,14.56
LTU,2002,14.357
LTU,2003,14.287
LTU,2004,13.234
LTU,2005,13.694
LTU,2006,13.758
LTU,2007,14.838
LTU,2008,16.573
LTU,2009,21.848
LTU,2010,19.411
LTU,2011,17.373
LTU,2012,16.309
LTU,2013,15.333
LTU,2014,15.507
LTU,2015,15.805
LTU,2016,15.573
LTU,2017,15.334
LTU,2018,16.398
LTU,2019,16.993
LTU,2020,21.076
LTU,2021,18.731
LTU,2022,19.839
LUX,1980,20.098
LUX,1981,21.505
LUX,1982,20.826
LUX,1983,20.992
LUX,1984,19.774
LUX,1985,19.582
LUX,1986,18.953
LUX,1987,19.813
LUX,1988,19.402
LUX,1989,18.769
LUX,1990,18.974
LUX,1991,19.287
LUX,1992,19.64
LUX,1993,19.964
LUX,1994,19.778
LUX,1995,20.583
LUX,1996,20.561
LUX,1997,20.033
LUX,1998,20.213
LUX,1999,19.805
LUX,2000,18.774
LUX,2001,20.28
LUX,2002,21.481
LUX,2003,22.756
LUX,2004,22.821
LUX,2005,22.587
LUX,2006,21.111
LUX,2007,19.895
LUX,2008,20.813
LUX,2009,22.535
LUX,2010,21.727
LUX,2011,20.596
LUX,2012,20.726
LUX,2013,20.889
LUX,2014,20.815
LUX,2015,20.543
LUX,2016,20.251
LUX,2017,20.687
LUX,2018,21.02
LUX,2019,21.617
LUX,2020,23.92
LUX,2021,21.595
LUX,2022,21.872
MEX,1985,1.948
MEX,1986,1.785
MEX,1987,1.725
MEX,1988,1.921
MEX,1989,2.462
MEX,1990,3.139
MEX,1991,3.523
MEX,1992,3.85
MEX,1993,3.786
MEX,1994,4.105
MEX,1995,3.68
MEX,1996,3.367
MEX,1997,3.396
MEX,1998,3.809
MEX,1999,4.286
MEX,2000,4.391
MEX,2001,4.992
MEX,2002,5.346
MEX,2003,6.02
MEX,2004,5.954
MEX,2005,6.145
MEX,2006,6.26
MEX,2007,6.255
MEX,2008,6.704
MEX,2009,7.262
MEX,2010,7.342
MEX,2011,7.21
MEX,2012,7.228
MEX,2013,7.565
MEX,2014,7.552
MEX,2015,7.658
MEX,2016,7.487
MEX,2017,7.407
MEX,2018,7.105
MEX,2019,7.355
NLD,1880,0.29
NLD,1890,0.3
NLD,1900,0.39
NLD,1910,0.39
NLD,1920,0.99
NLD,1930,1.03
NLD,1960,9.48142
NLD,1961,10.274748
NLD,1962,10.979871
NLD,1963,12.6561775
NLD,1964,12.764593
NLD,1965,13.869847
NLD,1966,15.021021
NLD,1967,16.022108
NLD,1968,16.598606
NLD,1969,17.424473
NLD,1970,18.191757
NLD,1971,18.937664
NLD,1972,19.710352
NLD,1973,20.2884
NLD,1974,21.640015
NLD,1975,23.951485
NLD,1976,23.990498
NLD,1977,20.700474
NLD,1978,21.55937
NLD,1979,22.265646
NLD,1980,22.964
NLD,1981,23.594
NLD,1982,25.04
NLD,1983,25.39
NLD,1984,24.059
NLD,1985,23.476
NLD,1986,22.91
NLD,1987,22.867
NLD,1988,22.547
NLD,1989,22.224
NLD,1990,23.683
NLD,1991,23.634
NLD,1992,24.065
NLD,1993,24.172
NLD,1994,22.898
NLD,1995,22.082
NLD,1996,21.001
NLD,1997,20.319
NLD,1998,20.271
NLD,1999,19.576
NLD,2000,18.98
NLD,2001,19.08
NLD,2002,19.863
NLD,2003,20.54
NLD,2004,20.386
NLD,2005,19.913
NLD,2006,16.428
NLD,2007,15.737
NLD,2008,15.474
NLD,2009,17.072
NLD,2010,17.463
NLD,2011,17.537
NLD,2012,17.923
NLD,2013,18.132
NLD,2014,17.929
NLD,2015,17.596
NLD,2016,17.468
NLD,2017,16.649
NLD,2018,16.318
NLD,2019,16.321
NLD,2020,18.921
NLD,2021,18.671
NLD,2022,17.565
NZL,1880,0.17
NZL,1890,0.39
NZL,1900,1.09
NZL,1910,1.35
NZL,1920,1.84
NZL,1930,2.43
NZL,1960,11.149809
NZL,1961,11.059325
NZL,1962,11.312077
NZL,1963,10.759138
NZL,1964,10.527614
NZL,1965,10.316295
NZL,1966,10.519802
NZL,1967,10.861687
NZL,1968,10.6076765
NZL,1969,10.263539
NZL,1970,9.916814
NZL,1971,9.741967
NZL,1972,10.792769
NZL,1973,11.309372
NZL,1974,11.899358
NZL,1975,12.674137
NZL,1976,13.05347
NZL,1977,15.399199
NZL,1978,15.980966
NZL,1979,15.826145
NZL,1980,16.366
NZL,1981,16.513
NZL,1982,16.983
NZL,1983,16.686
NZL,1984,15.987
NZL,1985,16.348
NZL,1986,16.574
NZL,1987,17.606
NZL,1988,18.751
NZL,1989,20.284
NZL,1990,20.153
NZL,1991,20.569
NZL,1992,20.25
NZL,1993,18.8
NZL,1994,18.14
NZL,1995,17.617
NZL,1996,17.562
NZL,1997,18.577
NZL,1998,19.11
NZL,1999,18.459
NZL,2000,18.259
NZL,2001,17.629
NZL,2002,18.208
NZL,2003,17.574
NZL,2004,16.702
NZL,2005,19.927
NZL,2006,20.039
NZL,2007,20.671
NZL,2008,22.629
NZL,2009,23.561
NZL,2010,23.429
NZL,2011,22.933
NZL,2012,22.79
NZL,2013,21.26
NZL,2014,21.129
NZL,2015,20.04
NZL,2016,19.65
NZL,2017,18.652
NZL,2018,19.455
NZL,2019,23.642
NZL,2020,21.978
NZL,2021,20.825
NOR,1880,1.07
NOR,1890,0.95
NOR,1900,1.24
NOR,1910,1.18
NOR,1920,1.09
NOR,1930,2.39
NOR,1960,6.0308456
NOR,1961,6.224853
NOR,1962,6.779612
NOR,1963,7.106426
NOR,1964,7.3301353
NOR,1965,7.7978187
NOR,1966,8.597698
NOR,1967,9.164309
NOR,1968,9.670078
NOR,1969,10.3219
NOR,1970,12.388331
NOR,1971,13.365773
NOR,1972,14.333635
NOR,1973,14.651313
